218,2022-01-31 08:32:42,539,214,156,13,435
71,2022-03-20 19:01:03,567,152,111,86,365
76,2021-01-17 04:25:22,962,51,39,75,388
317,2021-12-20 02:13:34,1084,1045,32,90,554
27,2021-02-27 21:42:22,838,267,296,40,314
108,2022-04-10 04:18:01,156,688,277,100,768
87,2021-02-10 18:32:23,1094,814,22,77,756
233,2022-05-02 06:47:24,1063,637,307,4,520
78,2021-11-19 01:21:51,145,435,35,14,232
8,2022-04-28 15:54:27,494,173,106,68,258
288,2021-02-06 07:33:17,838,1070,166,7,160
11,2021-12-24 01:44:56,711,454,155,40,314
251,2021-01-19 00:18:11,393,179,229,59,156
29,2022-03-11 15:02:38,309,809,264,2,478
284,2021-04-11 21:28:57,324,277,274,97,403
192,2022-02-09 05:15:38,492,745,266,91,216
153,2021-03-31 09:19:33,194,403,95,106,332
102,2021-03-15 04:07:09,648,573,14,14,380
99,2021-12-09 14:27:45,156,67,26,80,535
256,2021-10-18 20:10:54,1061,971,314,22,722
40,2021-10-12 09:30:25,823,804,315,34,151
173,2021-08-18 16:41:35,701,406,269,114,11
160,2021-03-24 04:00:17,823,815,320,53,97
79,2022-04-16 16:43:49,283,453,9,90,798
143,2022-03-05 08:17:26,1064,209,24,83,270
39,2021-03-20 04:25:54,1061,287,53,105,475
210,2021-02-28 06:24:27,1011,355,291,116,217
33,2022-02-20 12:00:47,528,875,96,3,800
116,2021-12-07 07:32:12,528,85,45,33,378
186,2021-11-09 12:48:55,892,68,70,85,404
198,2021-01-07 15:14:35,962,979,164,51,298
277,2022-03-17 08:17:27,183,110,240,104,128
52,2021-08-29 11:46:50,172,405,31,53,73
211,2021-12-25 17:51:50,773,735,214,11,705
100,2021-01-07 21:45:34,1068,929,175,112,702
96,2021-02-15 17:23:02,229,568,228,65,660
323,2022-02-14 23:20:26,1084,572,133,3,250
265,2021-08-16 09:48:31,711,656,319,40,793
0,2021-11-11 08:34:09,208,851,49,111,535
299,2022-01-27 08:42:48,962,51,38,91,603
231,2022-04-12 22:52:39,1049,575,47,102,452
322,2021-11-24 03:29:23,1084,920,10,74,519
254,2021-07-10 02:29:07,506,1022,178,6,693
15,2021-01-13 16:07:23,819,465,199,106,144
24,2022-02-03 03:44:08,990,391,73,45,475
243,2021-10-04 20:20:31,990,940,29,66,26
13,2021-04-07 20:07:23,618,550,191,78,216
300,2021-07-09 07:25:40,990,1042,67,73,495
70,2021-04-26 18:30:16,957,507,179,91,792
136,2021-12-24 02:33:58,400,1026,117,31,21
120,2021-03-13 04:43:25,787,4,287,0,353
97,2021-03-27 01:05:50,1011,755,0,97,168
314,2022-01-10 01:32:57,892,409,98,85,614
266,2021-03-04 14:28:41,229,279,276,2,809
54,2021-08-05 22:12:19,838,8,126,1,38
148,2021-06-28 00:31:30,294,298,128,48,581
45,2022-04-28 15:31:19,990,253,68,15,790
145,2021-10-06 22:20:32,618,136,251,54,690
315,2021-01-20 03:28:17,711,768,210,7,635
163,2022-04-12 13:03:38,582,474,62,30,75
135,2021-07-21 18:16:34,657,1065,195,114,11
85,2022-04-07 10:08:03,657,795,221,27,396
139,2021-11-04 11:37:33,773,312,263,69,309
269,2021-07-03 07:41:53,539,464,19,62,151
190,2021-07-28 20:08:03,170,1062,157,61,799
308,2021-06-22 05:20:06,462,603,88,18,25
321,2021-06-10 05:04:52,387,499,121,53,518
283,2022-04-23 18:11:53,670,451,66,73,395
10,2021-05-20 16:51:11,172,1046,90,5,551
126,2022-01-16 16:09:20,618,654,208,97,168
177,2021-04-01 01:14:13,100,455,119,100,813
206,2021-06-09 17:39:47,372,274,18,31,812
193,2021-01-04 22:10:32,835,611,48,9,99
147,2021-09-11 13:19:39,1049,84,188,73,146
63,2021-11-22 02:17:14,429,609,107,75,259
286,2021-05-08 22:45:22,648,997,58,0,141
214,2021-08-26 17:31:37,309,877,260,113,184
306,2022-04-07 21:39:17,194,951,299,35,52
279,2021-07-20 13:59:52,1084,766,139,3,273
204,2022-01-21 23:05:52,309,149,297,20,95
311,2021-10-26 17:05:25,182,667,170,60,592
295,2021-11-19 03:53:08,225,997,2,38,677
134,2021-03-13 06:20:54,532,1085,143,20,38
304,2021-04-29 17:07:45,567,375,273,11,728
90,2021-08-24 03:58:15,730,282,65,101,682
221,2021-11-10 07:06:24,377,201,3,80,296
276,2021-08-29 15:54:09,670,396,80,101,181
38,2021-10-06 11:05:40,632,143,159,33,728
23,2021-02-27 08:52:08,506,619,158,6,72
182,2021-05-08 12:51:23,194,602,217,86,579
112,2021-10-16 07:36:47,225,543,94,28,785
203,2021-08-24 12:09:38,194,427,110,106,820
92,2021-03-16 12:09:55,158,328,312,12,470
110,2022-03-24 12:56:55,377,72,137,88,183
216,2021-09-12 19:29:51,777,763,17,80,296
86,2022-02-28 04:30:31,950,653,290,102,75
239,2021-01-15 00:07:00,679,849,79,76,353
19,2021-12-19 07:33:09,1064,1001,141,20,95
185,2021-11-13 23:03:17,701,927,237,114,639
280,2022-03-30 07:34:55,1068,738,268,56,448
247,2021-11-17 01:00:56,183,300,30,17,114
319,2022-03-14 09:08:11,387,218,54,81,115
293,2022-03-22 10:33:24,1061,788,202,84,274
55,2021-11-05 18:59:08,183,113,131,96,673
296,2021-04-11 05:03:48,969,910,145,45,274
109,2021-01-09 09:57:12,225,611,92,31,302
83,2021-05-03 04:05:00,400,930,200,31,614
271,2021-10-30 09:33:18,777,230,262,10,780
258,2021-10-10 14:34:41,679,676,293,30,75
175,2022-03-14 13:02:32,1055,197,46,7,340
118,2021-05-16 22:03:46,208,13,233,52,120
44,2021-04-15 07:32:52,539,137,97,38,687
68,2021-11-23 03:46:22,772,556,316,22,560
16,2021-04-21 06:03:52,494,6,50,22,236
88,2021-11-09 18:29:18,156,1040,12,100,354
46,2021-05-26 16:20:20,208,425,311,52,592
196,2021-02-23 22:55:35,618,762,211,106,820
205,2022-01-01 20:05:19,582,807,168,30,192
121,2021-09-11 17:22:00,823,750,192,31,181
297,2021-05-16 23:02:16,324,397,225,69,706
157,2021-10-26 01:41:23,957,321,185,115,329
30,2021-08-27 00:20:21,156,728,313,80,691
60,2022-03-26 20:42:06,294,466,324,18,254
165,2021-04-03 19:30:59,987,564,176,76,496
267,2022-03-08 00:39:35,701,922,284,50,283
191,2021-11-12 08:54:54,492,149,220,32,411
307,2021-08-24 00:37:02,772,216,89,62,646
119,2021-12-12 11:06:12,1011,279,40,11,536
