19,554,817
41,146,182
5,310,175
55,561,305
12,1015,155
15,1009,139
40,778,166
23,388,769
25,747,47
34,198,69
45,443,434
17,220,171
4,850,10
14,116,569
35,541,471
26,497,774
8,268,607
50,985,76
51,130,748
9,501,31
7,555,796
47,195,532
30,200,252
29,1051,765
11,440,781
16,398,764
3,1079,22
21,1060,81
46,1097,457
53,233,583
36,622,784
6,199,295
22,566,544
32,493,714
38,261,46
39,547,88
13,115,786
20,991,190
31,857,547
44,417,35
2,439,572
28,49,688
54,238,545
1,239,418
0,46,244
18,1052,77
43,1073,662
24,1016,92
56,333,637
52,69,656
42,513,301
37,776,162
48,20,64
27,160,113
49,530,439
10,210,386
33,1007,320
